key,translation
bunch_of_peas,Bunch of peas
threshing_floor,Threshing floor
threshing_floor_description,"Used for mass animal threshing of 
plants to separate seeds from hay"
noria,Noria
noria_description,Used to lift water from a well and direct it through irrigation canals
iron_bloom,Iron bloom
assigned_to,Assigned to {0}
assign_to,Assign to {0}
unassign_from,Unassign from {0}
assign_a_pet,Assign a pet
pets,Pets
music_volume,Music volume
destruct_surface,Destruct surface
x_got_the_y_effect,{0} got the {1} effect
days_until_aging_x,Days until aging: {0}
days_until_death_x,Days until death: {0}
trading_post,Trading post
trading,Trading
trading_post_assortment_update,The assortment of trading posts has been updated!
buying,Buying
selling,Selling
trading_post_description,Allows you to buy and sell goods. Updates its assortment once a day
mealing_stone,Mealing stone
mealing_stone_description,Used for processing grain and seeds
animal_fat,Animal fat
oil_lamp,Oil lamp
oil_lamp_description,"Used for lighting, uses oils and animal fats as fuel"
pemmican,Pemmican
settlement,Settlement
side_item,Side item
dry_manure_fuel,Dry manure fuel
manure_drying_area,Manure drying area
manure_drying_area_description,Used for drying manure
energy_production,Energy production
treadmill,Treadmill
treadmill_description,Converts the energy of animals and settlers into mechanical energy
x_is_already_assigned_to_this_hut,{0} is already assigned to this hut
x_is_already_assigned_to_another_hut,{0} is already assigned to another hut
assign_x_to_this_hut,Assign {0} to this hut
assign_a_settler,Assign a settler
free_up,Free up
view_settler,View settler
information,Information
inventory,Inventory
equipment,Equipment
remove_equipment,Remove equipment
redwood,Redwood Tree
maple,Maple Tree
pine,Pine Tree
carrot_seeds,Carrot Seeds
carrot_wild,Wild Carrot Plant
carrot,Carrot
red_beet_seeds,Red Beet Seeds
red_beet_plant,Red Beet Plant
red_beet,Red Beet
wineberry_bush,Wineberry Bush
wineberries,Wineberries
lettuce_wild,Wild Lettuce
lettuce_leaves,Lettuce Leaves
avacado_seed,Avacado Pit
avacado_tree,Avacado Tree
avacado,Avacado
mulberry_tree,Mulberry Tree
mulberry,Mulberry
onion_seeds,Onion Seeds
onion_plant,Onion Plant
onion,Onion
tumeric_plant,Tumeric Plant
tumeric,Tumeric
lemon_seeds,Lemon Seeds
lemon_tree,Lemon Tree
lemon,Lemon
timothy_grass,Timothy Grass
timothy_grass_seeds,Timothy Grass Seeds
butterfly_bush,Butterfly Bush
dames_rockets,Dame Rocket Flowers
multiflora_rose_bush,Multiflora Rose Bush
rose_bush,Rose Bush
blueberries,Blueberries
blueberry_seeds,Blueberry Seeds
blueberry_bush,Blueberry Bush
star_flower,Star Flower
tulip,Tulip Flower
tomato_seeds,Tomato Seeds
tomato_plant,Tomato Plant
tomato,Tomato
bell_pepper_seeds,Bell Pepper Seeds
bell_pepper_plant,Bell Pepper Plant
bell_pepper,Bell Pepper
corn,Corn
corn_seeds,Corn Seeds
corncob,Corncob
spinach_seeds,Spinach Seeds
spinach,Spinach
spinach_plant,Spinach Plant
fish_cake,Fish Patty
spinach_quiche,Spinach Quiche
lemon_square,Lemon Square
blueberry_tart,Blueberry Tart
onion_quiche,Onion Quiche
meat_pie,Meat Pie
wineberry_pie,Wineberry Pie
muffin,Muffin
egg,Egg
chicken,Chicken
pot_of_vinegar,Pot of Vinegar
wax,Wax
roasted_corncob,Roasted Corn on the cob
quarry,Quarry
plank_floor,Wooden Plank Flooring
steel_ingot,Steel Ingot
silicon,Silicon
silicon_ingot,Silicon Ingot
solar_power,Solar Power
empty_battery,Empty Battery
full_battery,Full Battery
carving,Carving
lettuce_tea,Lettuce Tea
red_beet_chips,Red Beet Chips
sycamore,Sycamore Tree
woad_plant,Woad Plant
woad_leaves,Woad leaves
woad_seeds,Woad Seeds
coop,Coop
red_tunic,Red Tunic
orange_tunic,Orange Tunic
yellow_tunic,Yellow Tunic
green_tunic,Green Tunic
ltblue_tunic,Light Blue Tunic
dkblue_tunic,Dark Blue Tunic
purple_tunic,Purple Tunic
pink_tunic,Pink Tunic
red_coat,Red Coat
orange_coat,Orange Coat
yellow_coat,Yellow Coat
green_coat,Green Coat
ltblue_coat,Light Blue Coat
dkblue_coat,Dark Blue Coat
purple_coat,Purple Coat
pink_coat,Pink Coat
copper_lamp,Copper Lantern
copper_lamp_post,Copper Lantern on Post
bronze_lamp,Bronze Lantern
bronze_lamp_post,Bronze Lantern on a Post
iron_gate_large,Large Iron Gate
iron_gate,Small Iron Gate
iron_lamp,Iron Lantern
iron_lamp_post,Iron Lantern on a Post
stove_iron,Iron Stove
avacado_oil,Avacado Oil
lemonade,Lemonade
stone_ball,Stone Ball Sculpture
stone_arch,Stone Arch
rose_sculpture_large,Large Rose Sculpture
rose_sculpture_small,Small Rose Sculpture
limestone_pillar,Limestone Pillar
joyful_statue,Joyful Statue
fountain,Fountain
holder_statue,Holder Sculpture
limestone_dog_statue,Limestone Dog Sculpture
dog_statue,Stone Dog Sculpture
farmer_statue,Farmer Sculpture
merchant_statue,Merchant Sculpture
totem,Wooden Totem
brick_abode,Brick Home
brick_oven,Brick Oven
candle,Candle
candle_making,Candle Making
candle_maker,Candle Maker
candelabra_copper,Copper Candelabra
candelabra_bronze,Bronze Candelabra
candelabra_iron,Iron Candelabra
candelabra_steel,Steel Candelabra
sand,Sand
glass,Glass
glass_bottle,Glass Bottle
glass_workshop,Glass Workshop
holder_statue_light,Lit Holder Sculpture
food_press,Food Press
dye_station,Dye Station
advanced_crafting,Advanced Crafting
crafting_desk,Crafting Desk
sewing_desk,Sewing Desk
study_desk,Research Desk
steel_smelting,Steel Smelting
steel_ingot,Steel Ingot
silicon,Silicon
silicon_ingot,Silicon Ingot
solar_panel,Solar Panel
charging_station,Solar Charging Station
copper_wire,Copper Wire
blast_furnace,Blast Furnace
bird_bath,Bird Bath
used_for_making_pizza,Used for baking Pizza
tomato_pizza,Tomato Pie Pizza
cheese_pizza,Cheese Pizza
meaty_pizza,Meaty Pizza
veggie_pizza,Veggie Pizza
wooden_gate_small,Small Wooden Gate
wooden_gate_large,Large Wooden Gate
used_to_dye_clothes,Used to Dye Clothes different colors
sycamore_pod,Sycamore Seed
red_cabbage,Red Cabbage
red_cabbage_plant,Red Cabbage Plant
acorn,Acorn
sugar,Sugar
tapped_maple,Tapped Maple Tree
tapped_pine,Tapped Pine Tree
tapper,Tapper
maple_sap,Raw Maple Sap
pine_sap,Raw Pine Sap
maple_syrup,Maple Syrup
to_tap_trees,Used to collect sap from a trees.
tree_tapping,Tree Tapping
tea_seed,Tea Tree Seed
tea_leaves,Tea Leaves
tea_plant,Tea Plant
black_tea,Black Tea
limestone,Limestone
tomato_soup,Tomato Soup
veg_soup,Vegitable Soup
fried_egg,Fried Eggs
potato_chips,Potato Chips
knitted_cap,Knitted Hat
sun_cap,Sun Hat
head_wrap,Head Wrap
pancakes,Pancakes w/ Syrup
pinecone,Pinecone
maple_seed,Maple Tree Seed
jack_o_lantern,Jack-O-Lantern
toasted_pumpkin_seeds,Toasted Pumpkin Seeds
pumpkin_pie,Pumpkin Pie
pumpkin,Pumpkin
pumpkin_seeds,Pumpkin Seeds
red_head_wrap,Red Head Wrap
orange_head_wrap,Orange head Wrap
yellow_head_wrap,Yellow Head Wrap
green_head_wrap,Green Head Wrap
ltblue_head_wrap,Light Blue Head Wrap
dkblue_head_wrap,Dark Blue Head Wrap
purple_head_wrap,Purple Head Wrap
pink_head_wrap,Pink Head Wrap
red_sun_cap,Red Sun Cap
orange_sun_cap,Orange Sun Cap
yellow_sun_cap,Yellow Sun Cap
green_sun_cap,Green Sun Cap
ltblue_sun_cap,Light Blue Sun Cap
dkblue_sun_cap,Dark Blue Sun Cap
purple_sun_cap,Purple Sun Cap
pink_sun_cap,Pink Sun Cap
red_knitted_cap,Red Knitted Cap
orange_knitted_cap,Orange Knitted Cap
yellow_knitted_cap,Yellow Knitted Cap
green_knitted_cap,Green Knitted Cap
ltblue_knitted_cap,Light Blue Knitted Cap
dkblue_knitted_cap,Dark Blue Knitted Cap
purple_knitted_cap,Purple Knitted Cap
pink_knitted_cap,Pink Knitted Cap
warehouse,Warehouse
silo,Silo
potato,Potato
potato_plant,Potato Plant
foot_light_small,Small Floor Light
floor_light_large,Large Floor Light
tin_plate,Tin Coated Iron Plate
plate_casting,Plate Casting
used_for_casting_plates,Used for casting metal plates.
steel_drill,Electric Drill
chainsaw,Electric Chainsaw
cattle_miner,Mining Machine
cattle_miner_desc,A machine made that utilizes animals mine ore.
nursery,Tree Nursery
nursery_desc,A greenhouse where trees are grown and then made into wood.
advanced_buildings,Advanced Buildings
